employee_id,training_date,program,training_type,outcome,duration_days,cost,start_date,exit_date,termination_type,employee_status,department,is_effective,effective_spend,wasted_spend,has_left,spend_to_leaver,date_validity,is_valid_record,tenure_at_training_years,cost_per_day,training_month
1001,2022-09-21,Customer Service,Internal,Failed,4,510.83,2019-08-29,,Unk,Active,Software Engineering,False,0.0,510.83,False,0.0,valid,True,3.06,127.71,2022-09
1002,2023-07-19,Leadership Development,Internal,Failed,2,582.37,2022-12-12,2023-05-28,Involuntary,Active,Software Engineering,False,0.0,582.37,True,582.37,after_exit,False,0.6,291.18,2023-07
1003,2023-02-24,Technical Skills,Internal,Incomplete,4,777.06,2023-03-08,2023-03-15,Voluntary,Active,Software Engineering,False,0.0,777.06,True,777.06,before_hire,False,-0.03,194.26,2023-02
1004,2023-01-12,Customer Service,Internal,Completed,2,824.3,2020-05-29,2021-03-05,Involuntary,Active,Software Engineering,True,824.3,0.0,True,824.3,after_exit,False,2.62,412.15,2023-01
1005,2023-05-12,Communication Skills,External,Passed,4,145.99,2022-09-16,,Unk,Active,Software Engineering,True,145.99,0.0,False,0.0,valid,True,0.65,36.5,2023-05
1006,2023-05-08,Project Management,Internal,Failed,2,838.07,2021-08-15,2021-11-20,Resignation,Active,Software Engineering,False,0.0,838.07,True,838.07,after_exit,False,1.73,419.04,2023-05
1007,2023-05-14,Leadership Development,External,Failed,2,667.32,2020-10-25,2021-09-26,Involuntary,Voluntarily Terminated,Software Engineering,False,0.0,667.32,True,667.32,after_exit,False,2.55,333.66,2023-05
1008,2023-08-02,Technical Skills,External,Incomplete,2,758.18,2019-08-28,2020-05-04,Voluntary,Active,Software Engineering,False,0.0,758.18,True,758.18,after_exit,False,3.93,379.09,2023-08
1009,2022-08-21,Customer Service,Internal,Incomplete,2,101.21,2019-06-13,2023-01-12,Retirement,Active,Software Engineering,False,0.0,101.21,True,101.21,valid,True,3.19,50.6,2022-08
1010,2022-08-19,Communication Skills,External,Incomplete,5,332.25,2021-01-12,2022-03-18,Voluntary,Voluntarily Terminated,Software Engineering,False,0.0,332.25,True,332.25,after_exit,False,1.6,66.45,2022-08
1011,2022-11-06,Communication Skills,Internal,Completed,1,803.98,2022-02-07,2023-02-12,Resignation,Voluntarily Terminated,Software Engineering,True,803.98,0.0,True,803.98,valid,True,0.74,803.98,2022-11
1012,2023-03-28,Technical Skills,External,Failed,3,887.08,2020-11-09,2021-06-06,Involuntary,Voluntarily Terminated,Software Engineering,False,0.0,887.08,True,887.08,after_exit,False,2.38,295.69,2023-03
1013,2023-04-08,Project Management,External,Incomplete,2,657.85,2020-05-13,,Unk,Active,Software Engineering,False,0.0,657.85,False,0.0,valid,True,2.9,328.92,2023-04
1014,2023-02-21,Customer Service,External,Incomplete,2,895.49,2022-12-31,2023-07-13,Retirement,Active,Software Engineering,False,0.0,895.49,True,895.49,valid,True,0.14,447.74,2023-02
1015,2023-05-13,Leadership Development,External,Passed,1,539.0,2018-12-03,,Unk,Active,Software Engineering,True,539.0,0.0,False,0.0,valid,True,4.44,539.0,2023-05
1016,2023-04-30,Communication Skills,External,Completed,2,606.68,2020-02-21,2021-05-29,Involuntary,Active,Admin Offices,True,606.68,0.0,True,606.68,after_exit,False,3.19,303.34,2023-04
1017,2022-11-14,Technical Skills,External,Passed,3,265.73,2020-09-07,2021-12-15,Involuntary,Active,Admin Offices,True,265.73,0.0,True,265.73,after_exit,False,2.18,88.58,2022-11
1018,2023-03-25,Project Management,Internal,Incomplete,2,673.29,2020-06-19,2021-12-08,Involuntary,Active,Admin Offices,False,0.0,673.29,True,673.29,after_exit,False,2.76,336.64,2023-03
1019,2022-10-26,Project Management,External,Passed,5,436.98,2022-10-14,2023-07-28,Retirement,Voluntarily Terminated,Software Engineering,True,436.98,0.0,True,436.98,valid,True,0.03,87.4,2022-10
1020,2022-12-30,Technical Skills,External,Passed,4,578.58,2023-06-20,2023-07-18,Resignation,Voluntarily Terminated,Software Engineering,True,578.58,0.0,True,578.58,before_hire,False,-0.47,144.65,2022-12
1021,2023-03-10,Technical Skills,Internal,Failed,1,647.16,2020-11-09,2023-07-17,Resignation,Voluntarily Terminated,Software Engineering,False,0.0,647.16,True,647.16,valid,True,2.33,647.16,2023-03
1022,2023-01-12,Project Management,Internal,Failed,1,664.23,2022-09-19,,Unk,Active,Software Engineering,False,0.0,664.23,False,0.0,valid,True,0.31,664.23,2023-01
1023,2022-10-19,Project Management,Internal,Failed,4,893.07,2018-11-09,2021-10-10,Voluntary,Active,Software Engineering,False,0.0,893.07,True,893.07,after_exit,False,3.94,223.27,2022-10
1024,2022-10-11,Project Management,External,Completed,5,868.98,2018-12-30,2021-06-23,Involuntary,Active,Software Engineering,True,868.98,0.0,True,868.98,after_exit,False,3.78,173.8,2022-10
1025,2023-01-13,Project Management,Internal,Incomplete,5,761.95,2023-05-11,2023-05-15,Retirement,Active,Admin Offices,False,0.0,761.95,True,761.95,before_hire,False,-0.32,152.39,2023-01
1026,2023-04-17,Communication Skills,External,Incomplete,4,431.57,2022-11-03,2023-02-09,Resignation,Active,Admin Offices,False,0.0,431.57,True,431.57,after_exit,False,0.45,107.89,2023-04
1027,2023-03-16,Communication Skills,External,Incomplete,4,357.57,2020-06-14,2021-05-29,Voluntary,Active,Admin Offices,False,0.0,357.57,True,357.57,after_exit,False,2.75,89.39,2023-03
1028,2023-01-19,Technical Skills,Internal,Incomplete,3,804.06,2019-10-15,2023-01-01,Resignation,Voluntarily Terminated,Software Engineering,False,0.0,804.06,True,804.06,after_exit,False,3.26,268.02,2023-01
1029,2023-02-25,Project Management,Internal,Failed,5,729.41,2020-04-28,,Unk,Active,Software Engineering,False,0.0,729.41,False,0.0,valid,True,2.83,145.88,2023-02
1030,2023-01-04,Communication Skills,Internal,Completed,1,169.46,2019-10-29,,Unk,Active,Software Engineering,True,169.46,0.0,False,0.0,valid,True,3.18,169.46,2023-01
1031,2022-12-26,Communication Skills,Internal,Failed,1,833.28,2021-04-28,,Unk,Active,Software Engineering,False,0.0,833.28,False,0.0,valid,True,1.66,833.28,2022-12
1032,2022-12-07,Technical Skills,External,Completed,3,482.23,2022-04-19,2022-08-26,Voluntary,Active,Software Engineering,True,482.23,0.0,True,482.23,after_exit,False,0.64,160.74,2022-12
1033,2023-06-20,Communication Skills,Internal,Incomplete,4,169.85,2023-03-28,,Unk,Active,Software Engineering,False,0.0,169.85,False,0.0,valid,True,0.23,42.46,2023-06
1034,2022-11-10,Leadership Development,Internal,Failed,1,570.62,2019-05-06,,Unk,Active,Software Engineering,False,0.0,570.62,False,0.0,valid,True,3.52,570.62,2022-11
1035,2023-03-11,Communication Skills,Internal,Completed,2,724.14,2020-10-13,,Unk,Active,Admin Offices,True,724.14,0.0,False,0.0,valid,True,2.41,362.07,2023-03
1036,2022-12-10,Customer Service,External,Failed,3,305.98,2021-07-06,2021-11-25,Resignation,Active,Admin Offices,False,0.0,305.98,True,305.98,after_exit,False,1.43,101.99,2022-12
1037,2022-10-25,Leadership Development,Internal,Failed,2,646.76,2020-09-24,2020-11-02,Voluntary,Voluntarily Terminated,Software Engineering,False,0.0,646.76,True,646.76,after_exit,False,2.08,323.38,2022-10
1038,2023-07-28,Customer Service,External,Failed,2,516.89,2023-01-18,,Unk,Active,Software Engineering,False,0.0,516.89,False,0.0,valid,True,0.52,258.44,2023-07
1039,2023-01-24,Customer Service,External,Passed,5,520.41,2019-08-22,2022-03-25,Involuntary,Voluntarily Terminated,Software Engineering,True,520.41,0.0,True,520.41,after_exit,False,3.43,104.08,2023-01
1040,2022-12-01,Technical Skills,Internal,Completed,5,712.84,2019-07-25,2022-12-17,Retirement,Voluntarily Terminated,Software Engineering,True,712.84,0.0,True,712.84,valid,True,3.35,142.57,2022-12
1041,2023-03-07,Customer Service,Internal,Completed,3,871.12,2019-11-11,2020-01-10,Retirement,Voluntarily Terminated,Software Engineering,True,871.12,0.0,True,871.12,after_exit,False,3.32,290.37,2023-03
1042,2022-10-05,Project Management,Internal,Passed,1,228.11,2022-07-16,,Unk,Active,Software Engineering,True,228.11,0.0,False,0.0,valid,True,0.22,228.11,2022-10
1043,2022-08-10,Communication Skills,External,Completed,2,289.93,2022-12-19,2023-05-10,Resignation,Active,Software Engineering,True,289.93,0.0,True,289.93,before_hire,False,-0.36,144.96,2022-08
1044,2022-09-13,Technical Skills,External,Incomplete,4,920.78,2020-09-15,,Unk,Active,Software Engineering,False,0.0,920.78,False,0.0,valid,True,1.99,230.2,2022-09
1045,2023-06-11,Customer Service,External,Completed,2,690.41,2020-10-04,2023-02-27,Involuntary,Active,Admin Offices,True,690.41,0.0,True,690.41,after_exit,False,2.68,345.2,2023-06
1046,2023-07-28,Leadership Development,Internal,Failed,2,211.39,2022-04-23,2022-08-03,Involuntary,Voluntarily Terminated,Software Engineering,False,0.0,211.39,True,211.39,after_exit,False,1.26,105.7,2023-07
1047,2022-11-27,Project Management,Internal,Passed,2,606.63,2021-11-27,,Unk,Active,Software Engineering,True,606.63,0.0,False,0.0,valid,True,1.0,303.32,2022-11
1048,2022-12-02,Leadership Development,Internal,Completed,5,503.99,2019-11-29,,Unk,Active,Software Engineering,True,503.99,0.0,False,0.0,valid,True,3.01,100.8,2022-12
1049,2022-11-20,Leadership Development,Internal,Completed,2,518.54,2019-05-30,2020-12-19,Involuntary,Voluntarily Terminated,Software Engineering,True,518.54,0.0,True,518.54,after_exit,False,3.48,259.27,2022-11
